categoryOrder,category,name,description,price,fileName,image_url,slug,isNew,isDeleted
7,Veggies a la cart,Roasted brocoolli,Oven-roasted until caramelized and crisp at the edges.,1,roasted broccoli,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20broccoli.png?alt=media&token=0ea02a47-1395-4688-9a8f-a4173a1c3968,roasted-brocoolli,FALSE,FALSE
7,Veggies a la cart,Roasted brussle sprouts,"Crisp, golden Brussels sprouts with deep roasted flavor.",1,roasted brussel sprouts,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20brussel%20sprouts.png?alt=media&token=cd97fbe7-dd23-465c-9cb7-f25cb0ec962f,roasted-brussle-sprouts,FALSE,FALSE
7,Veggies a la cart,Roasted carrots,Slow-roasted carrots with natural sweetness and golden edges.,1,roasted carrots.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20carrots.png?alt=media&token=aec9a02c-2709-4cea-ba1d-73c8c5128e4d,roasted-carrots,FALSE,FALSE
7,Veggies a la cart,Roasted sage delicata squash,"Sweet delicata squash roasted with fresh sage for warm, seasonal flavor.",1,Roasted Sage Delicata Squash.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Roasted%20Sage%20Delicata%20Squash.png?alt=media&token=fae950d4-8d09-4bc6-a299-0c1a6e2929c2,roasted-sage-delicata-squash,FALSE,FALSE
7,Veggies a la cart,Roasted sweet potatoes,Perfectly roasted sweet potatoes with a soft center and caramelized exterior.,1,roasted sweet potatoes.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Roasted%20sweet%20potatoes.png?alt=media&token=c3392c76-51c9-4544-9dae-975b57a7ecff,roasted-sweet-potatoes,FALSE,FALSE
2,Naan pizza,Roasted vegetable & pesto naan pizza,Seasonal roasted vegetables layered with basil pesto and mozzarella.,1,Roasted Vegetable & Pesto Naan Pizza.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/roasted%20vegetables%20and%20pesto%20pizza.png?alt=media&token=fd7cdf06-bbb9-45a6-a942-d65e20a47de3,roasted-vegetable-&-pesto-naan-pizza,FALSE,FALSE
6,Proteins a la cart,Rotisserie chicken,"Herb-seasoned and slow-roasted until juicy and golden, finished with crisped skin and classic comfort flavor.",1,Rotisserie chicken.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Rotisserie%20chicken.png?alt=media&token=3e0f4fe2-086f-470c-9238-e5356bdbaf5c,rotisserie-chicken,FALSE,FALSE
3,Salads,Salmon sweet potato detox bowl,"Roasted sweet potatoes, salmon, greens, and clean, vibrant flavors.",1,Salmon Sweet Potato Detox Bowl,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Salmon%20Sweet%20Potato%20Detox%20Bowl.png?alt=media&token=5aac1497-9738-4bed-9a1f-57b9f4a8f7ae,salmon-sweet-potato-detox-bowl,FALSE,FALSE
6,Proteins a la cart,Santa Maria tri tip,"Marinated in traditional Santa Maria spices and grilled over open flame for bold, smoky depth.",1,santa maria tri tip.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Santa%20Maria%20Tri%20tip.png?alt=media&token=e3a3c44c-e4c1-40d5-ba3b-17e884c13ad5,santa-maria-tri-tip,FALSE,FALSE
1,Combo plate,Santa Maria tri tip combo,"California-inspired Santa Maria–style tri-tip, grilled to perfection",1,Santa Maria Tri tip combo.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/santa%20maria%20tri%20tip%20combo.png?alt=media&token=71835d36-2d91-4ed9-a4a5-68f907e3c28b,santa-maria-tri-tip-combo,FALSE,FALSE
7,Veggies a la cart,Sesame green beans,Crisp green beans tossed with toasted sesame oil.,1,sesame green beans.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Sesame%20green%20beans.png?alt=media&token=259a27cc-57e9-4b64-acba-62bdc65a56ea,sesame-green-beans,FALSE,FALSE
7,Veggies a la cart,Sliced apples,"Crisp apple slices, lightly sweet and refreshing.",1,sliced apples.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/sliced%20apples.png?alt=media&token=1e03388c-0f02-4879-8d52-db6ce3147243,sliced-apples,FALSE,FALSE
7,Veggies a la cart,Sliced cucumbers,"Fresh, crisp cucumbers — clean and refreshing.",1,sliced cucumbers.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/sliced%20cucumbers.png?alt=media&token=79fd5c84-3353-4e40-b662-b09510ce221b,sliced-cucumbers,FALSE,FALSE
8,Grains a la cart,Steamed brown rice,"Nutty, hearty brown rice, simple and grounding.",1,steamed brown rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/steamed%20brown%20rice.png?alt=media&token=439e1a92-7387-4b3c-8643-19e2e72b7e7d,steamed-brown-rice,FALSE,FALSE
8,Grains a la cart,Steamed jasmine rice,"Light, fluffy jasmine rice steamed to perfection.",1,steamed jasmine rice,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/steamed%20jasmine%20rice.png?alt=media&token=a1b0b8f2-abbd-468f-9160-74e74f09a491,steamed-jasmine-rice,FALSE,FALSE
6,Proteins a la cart,Tamari tofu steak,"Thick-cut tofu marinated in tamari, seared until crisp on the outside and tender within.",1,tamari tofu steak,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/tamari%20tofu%20steak.png?alt=media&token=364df2fa-56f7-4f75-bcfd-1c07546fa241,tamari-tofu-steak,FALSE,FALSE
9,Sauce,Tamarind hoison sauce,Sweet-tangy tamarind blended with rich hoisin flavor.,1,tamarind hoison sauce.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/tamarind%20hoison%20sauce.png?alt=media&token=8173883b-1468-40f9-8937-2f229a1ff58b,tamarind-hoison-sauce,FALSE,FALSE
6,Proteins a la cart,Teriyaki chicken,"Grilled chicken glazed with a house teriyaki sauce, balancing sweet and savory notes.",1,teriyaki chicken.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/teriyaki%20chicken.png?alt=media&token=7b731159-1dee-4e42-b10e-ae8d328a7c87,teriyaki-chicken,FALSE,FALSE
10,Saucetest,Texas BBQ sauce,"Bold, smoky barbecue sauce with a touch of sweetness.",1,texas bbq sauce.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/texas%20bbq%20sauce.png?alt=media&token=d31ea4c5-05f9-4d1b-87c8-5a8ed9c98931,texas-bbq-sauce,FALSE,FALSE
9,Sauce,Texas BBQ sauce,"Bold, smoky barbecue sauce with a touch of sweetness.",1,texas bbq sauce.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/texas%20bbq%20sauce.png?alt=media&token=d31ea4c5-05f9-4d1b-87c8-5a8ed9c98931,texas-bbq-sauce,FALSE,FALSE
3,Salads,Thai tofu salad,"Crisp tofu, herbs, and Thai-inspired dressing.",1,Thai Tofu Salad,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/thai%20tofu%20salad.png?alt=media&token=69f00ffe-354f-44aa-9434-de89231068a9,thai-tofu-salad,FALSE,FALSE
9,Sauce,Tomato basil marinara,Slow-simmered tomato sauce with fresh basil.,1,tomato basil marinara.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/tomato%20basil.png?alt=media&token=26feb0e9-a629-41e9-93f3-c6c58e84331c,tomato-basil-marinara,FALSE,FALSE
6,Proteins a la cart,Turkey burger with GF bun,"Juicy turkey patty served on a gluten-free bun, clean, satisfying, and protein-forward.",1,turkey burger with GF bun.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/turkey%20burger%20with%20gf%20bun.png?alt=media&token=be9e34be-5c53-41f0-9390-e4379ec1e0ca,turkey-burger-with-gf-bun,FALSE,FALSE
7,Veggies a la cart,Turmeric cauliflower,Roasted cauliflower infused with warming turmeric and gentle spice.,1,turmeric cauliflower.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Turmeric%20cauliflower.png?alt=media&token=d2605ac9-cfc7-456f-aca1-1461affe103a,turmeric-cauliflower,FALSE,FALSE
8,Grains a la cart,Turmeric rice,Golden rice infused with turmeric for warmth and color.,1,turmeric rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/turmeric%20rice.png?alt=media&token=7a5978fb-0b25-4768-a1cc-3dceaec92272,turmeric-rice,FALSE,FALSE
3,Salads,Vegan taco salad,"Spiced plant-based filling, fresh greens, and taco-inspired flavors.",1,vegan taco salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/vegan%20taco%20salad.png?alt=media&token=6537f325-e4c1-4bee-b6d6-1a35a7b27ef6,vegan-taco-salad,FALSE,FALSE
3,Salads,Wild salmon salad,Wild salmon served over fresh greens with bright accompaniments.,1,Wild salmon salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Wild%20salmon%20salad.png?alt=media&token=eaa2ac8a-fea0-4201-a57c-ae79b0ad53da,wild-salmon-salad,FALSE,FALSE
4,Soups and Curries,Yellow curry with tofu,Creamy yellow curry with tender tofu and vegetables.,1,yellow curry with tofu.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/yellow%20curry%20with%20tofu.png?alt=media&token=674d625f-5bb4-4d89-af0b-b6a729f7fd5b,yellow-curry-with-tofu,FALSE,FALSE
